CurveSurface,CurveType,Name,ID,Datum,Relative Curve,RiskMetrics Link,Term Interp,Time Interp,CurveUnit,Surface,
,Index,C00436510_NASDAQ_ACDU_0,C00436510_NASDAQ_ACDU_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,2.0E-4,
,Index,C00438V10_NASDAQ_ACHI_0,C00438V10_NASDAQ_ACHI_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,7.85,
,Index,C00439710_NASDAQ_ARAY_0,C00439710_NASDAQ_ARAY_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,8.0,
,Index,C00439T20_NYSE_ACW_0,C00439T20_NYSE_ACW_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,4.48,
,Index,C00444610_NASDAQ_ACET_0,C00444610_NASDAQ_ACET_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,22.12,
,Index,C00444T10_NASDAQ_ACRX_0,C00444T10_NASDAQ_ACRX_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,8.09,
,Index,C00448Q20_NASDAQ_ACHN_0,C00448Q20_NASDAQ_ACHN_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,12.75,
,Index,C00449810_NASDAQ_ACIW_0,C00449810_NASDAQ_ACIW_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,19.605,
,Index,C00484810_NASDAQ_ACFN_0,C00484810_NASDAQ_ACFN_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,1.94,
,Index,C00484M10_NASDAQ_ACOR_0,C00484M10_NASDAQ_ACOR_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,31.96,
,Index,C00485410_NYSE_ATV_0,C00485410_NYSE_ATV_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,2.14,
,Index,C00504W30_NASDAQ_ACPW_0,C00504W30_NASDAQ_ACPW_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,2.09,
,Index,C00507E10_NASDAQ_ACTS_0,C00507E10_NASDAQ_ACTS_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,2.44,
,Index,C00507V10_NASDAQ_ATVI_0,C00507V10_NASDAQ_ATVI_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,23.86,
,Index,C00508B10_NASDAQ_BIRT_0,C00508B10_NASDAQ_BIRT_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,4.32,
,Index,C00508X20_NYSE_ATU_0,C00508X20_NYSE_ATU_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,33.51,
,Index,C00508Y10_NYSE_AYI_0,C00508Y10_NYSE_AYI_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,122.42,
,Index,C00509410_NASDAQ_ACTA_0,C00509410_NASDAQ_ACTA_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,17.2,
,Index,C00512510_NASDAQ_ACXM_0,C00512510_NASDAQ_ACXM_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,18.48,
,Index,C00621210_NYSE_ADX_0,C00621210_NYSE_ADX_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,14.21,
,Index,C00685420_NASDAQ_ADEP_0,C00685420_NASDAQ_ADEP_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,7.56,
,Index,C00687A10_NASDAQ_ADDYY_0,C00687A10_NASDAQ_ADDYY_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,37.939,
,Index,C00724F10_NASDAQ_ADBE_0,C00724F10_NASDAQ_ADBE_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,73.39,
,Index,C00738A10_NASDAQ_ADTN_0,C00738A10_NASDAQ_ADTN_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,22.76,
,Index,C00751Y10_NYSE_AAP_0,C00751Y10_NYSE_AAP_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,136.8,
,Index,C00752K20_NASDAQ_ACTCD_0,C00752K20_NASDAQ_ACTCD_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,10.11,
,Index,C00756M40_NYSE_ASX_0,C00756M40_NYSE_ASX_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,6.13,
,Index,C00762420_NASDAQ_ADXS_0,C00762420_NASDAQ_ADXS_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,4.01,
,Index,C00762W10_NASDAQ_ABCO_0,C00762W10_NASDAQ_ABCO_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,47.54,
,Index,C00765F10_NYSE_AAV_0,C00765F10_NYSE_AAV_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,5.63,
,Index,C00765X10_NASDAQ_ADMD_0,C00765X10_NASDAQ_ADMD_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.0045,
,Index,C00766T10_NYSE_ACM_0,C00766T10_NYSE_ACM_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,37.51,
,Index,C00767E10_NASDAQ_AEGR_0,C00767E10_NASDAQ_AEGR_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,31.09,
,Index,C00770C10_NASDAQ_ADES_0,C00770C10_NASDAQ_ADES_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,22.0,
,Index,C00770F10_NASDAQ_AEGN_0,C00770F10_NASDAQ_AEGN_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,24.55,
,Index,C00776710_NYSE_ARX_0,C00776710_NYSE_ARX_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,10.59,
,Index,C00786510_NYSE_ARO_0,C00786510_NYSE_ARO_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,4.23,
,Index,C00790310_NYSE_AMD_0,C00790310_NYSE_AMD_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,4.13,
,Index,C00792410_NYSE_AEG_0,C00792410_NYSE_AEG_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,8.23,
,Index,C00794710_NASDAQ_AERT_0,C00794710_NASDAQ_AERT_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.105,
,Index,C00797310_NASDAQ_AEIS_0,C00797310_NASDAQ_AEIS_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,19.11,
,Index,C00797410_NASDAQ_ADVS_0,C00797410_NASDAQ_ADVS_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,33.24,
,Index,C00797530_NASDAQ_AEZS_0,C00797530_NASDAQ_AEZS_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,1.3601,
,Index,C00807310_NASDAQ_AVAV_0,C00807310_NASDAQ_AVAV_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,30.61,
,Index,C00808P20_NASDAQ_AESAY_0,C00808P20_NASDAQ_AESAY_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,7.196,
,Index,C00808Y10_NASDAQ_AEMD_0,C00808Y10_NASDAQ_AEMD_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.123,
,Index,C00817Y10_NYSE_AET_0,C00817Y10_NYSE_AET_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,83.95,
,Index,C00825210_NYSE_AMG_0,C00825210_NYSE_AMG_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,211.22,
,Index,C00826A10_NASDAQ_AFFY_0,C00826A10_NASDAQ_AFFY_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.1804,
,Index,C00826T10_NASDAQ_AFFX_0,C00826T10_NASDAQ_AFFX_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,8.48,
,Index,C00830V10_NASDAQ_ACCS_0,C00830V10_NASDAQ_ACCS_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.0011,
,Index,C00846U10_NYSE_A_0,C00846U10_NYSE_A_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,57.65,
,Index,C00847410_NYSE_AEM_0,C00847410_NYSE_AEM_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,33.82,
,Index,C00847G70_NASDAQ_AGEN_0,C00847G70_NASDAQ_AGEN_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,3.02,
,Index,C00847J10_NASDAQ_AGYS_0,C00847J10_NASDAQ_AGYS_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,12.4,
,Index,C00847X10_NASDAQ_AGIO_0,C00847X10_NASDAQ_AGIO_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,45.49,
,Index,C00850P10_NASDAQ_AGRC_0,C00850P10_NASDAQ_AGRC_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.06,
,Index,C00856J10_NASDAQ_AGTK_0,C00856J10_NASDAQ_AGTK_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.132,
,Index,C00891610_NYSE_AGU_0,C00891610_NYSE_AGU_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,93.35,
,Index,C00911910_NASDAQ_AFLYY_0,C00911910_NASDAQ_AFLYY_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,11.145,
,Index,C00912830_NASDAQ_AIRM_0,C00912830_NASDAQ_AIRM_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,57.93,
,Index,C00912X30_NYSE_AL_0,C00912X30_NYSE_AL_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,37.47,
,Index,C00915810_NYSE_APD_0,C00915810_NYSE_APD_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,131.99,
,Index,C00922R10_NASDAQ_ATSG_0,C00922R10_NASDAQ_ATSG_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,8.6,
,Index,C00936310_NYSE_ARG_0,C00936310_NYSE_ARG_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,110.47,
,Index,C00941110_NASDAQ_AMCN_0,C00941110_NASDAQ_AMCN_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,1.8,
,Index,C00971T10_NASDAQ_AKAM_0,C00971T10_NASDAQ_AKAM_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,61.815,
,Index,C01129510_NASDAQ_ALME_0,C01129510_NASDAQ_ALME_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.0022,
