TripleID, SpotPrice
C05367G10_NYSE_AVH,15.95
C05367P10_NASDAQ_AVID,8.5
C05377410_NASDAQ_CAR,64.89
C05379B10_NYSE_AVA,32.7
C05380710_NYSE_AVT,43.91
C05430310_NYSE_AVP,13.66
C05454010_NASDAQ_ACLS,1.98
C05459T10_NASDAQ_AXST,0.0715
C05462D10_NASDAQ_AXIH,0.5249
C05463120_NASDAQ_AXXE,0.2132
C05463D10_NYSE_AXLL,40.55
C05493710_NYSE_BBT,37.5
C05508R10_NYSE_BGS,30.19
C05523R10_NASDAQ_BAESY,29.136
C05534B76_NYSE_BCE,44.82
C05541T10_NASDAQ_BGCP,7.41
C05545E20_NYSE_BBL,60.92
C05561Q20_NASDAQ_BOKF,68.31
C05561R10_NASDAQ_BOLB,23.5
C05562210_NYSE_BP,45.33
C05563010_NYSE_BPT,93.59
C05563910_NYSE_BPZ,2.43
C05566U10_NASDAQ_BOFI,76.16
C05577E10_NYSE_BT,62.43
C05615F10_NYSE_BWC,28.95
C05652510_NYSE_BMI,52.59
C05675210_NASDAQ_BIDU,225.46
C05722410_NYSE_BHI,67.25
C05746510_NASDAQ_BKRSQ,1.0E-4
C05765710_NASDAQ_BPWRF,0.0010
C05766520_NASDAQ_BCPC,55.27
C05849810_NYSE_BLL,65.91
C05851610_AMEX_BTN,4.55
C05858610_NASDAQ_BLDP,3.56
C05874B10_NYSE_BYI,80.3
C05882310_NASDAQ_BLTA,0.0195
C05946030_NYSE_BBD,17.63
C05946K10_NYSE_BBVA,12.47
C05964H10_NYSE_SAN,10.05
C05965X10_NYSE_BSAC,23.9
C05967A10_NYSE_BSBR,6.98
C05969A10_NASDAQ_TBBK,9.27
C06187410_NASDAQ_BKEAY,4.31
C06254010_NYSE_BOH,58.75
C06367110_NYSE_BMO,76.78
C06375010_NASDAQ_BKMU,6.5
C06390410_NASDAQ_OZRK,33.11
C06414910_NYSE_BNS,65.5
C06643P10_NASDAQ_BFIN,10.79
C06647F10_NYSE_RATE,14.02
C06652K10_NYSE_BKU,31.81
C06738310_NYSE_BCR,149.37
C06738E20_NYSE_BCS,14.54
C06740L59_NYSE_XXV,38.42
C06759410_NASDAQ_BCCI,0.0525
C06777410_NYSE_BKS,23.4
C06780610_NYSE_B,34.68
C06790110_NYSE_ABX,16.74
C06846N10_NYSE_BBG,21.91
C06985P10_NYSE_BAS,22.03
C07159Y10_NASDAQ_BMTNF,0.164986
C07203510_NASDAQ_BAYK,5.35
C07317Q10_NYSE_BTE,41.55
C07327110_NASDAQ_BV,8.0
C07329510_NASDAQ_BBCN,14.8
C07329M10_NYSE_BFR,11.55
C07330110_NASDAQ_JALA,0.0175
C07330210_NASDAQ_BEAV,86.27
C07367720_NASDAQ_BCONQ,0.0305
C07368510_NASDAQ_BECN,26.9
C07556Q88_NYSE_BZH,18.82
C07557110_NASDAQ_BEBE,2.89
C07588710_NYSE_BDX,115.14
C07589610_NASDAQ_BBBY,64.82
C07712Q30_NASDAQ_BESE,0.011
C07745410_NYSE_BDC,72.88
C07770110_NASDAQ_BGAOY,7.04
C08143710_NYSE_BMS,40.23
C08160H10_NYSE_BHE,24.37
C08173R10_NASDAQ_BNCL,13.56
C08408020_NASDAQ_BRGO,1.0E-4
C08442310_NYSE_WRB,48.28
C08468010_NYSE_BHLB,24.64
C08579W10_NYSE_BERY,24.46
C08651610_NYSE_BBY,32.14
C08860610_NYSE_BHP,65.8
C08915P10_NASDAQ_BGFV,10.35
C08930210_NYSE_BIG,46.33
C09057220_NYSE_BIO,120.24
C09057D20_NASDAQ_BISU,0.0109
C09057G60_NASDAQ_BRLI,29.69
C09058V10_NASDAQ_BCRX,12.18
C09060C10_NASDAQ_BKYI,0.13
C09060J10_NASDAQ_BDSI,17.98
C09060V30_NASDAQ_BOCX,0.015
C09061G10_NASDAQ_BMRN,69.19
C09062110_NASDAQ_BONU,1.0E-4
C09062F20_NASDAQ_BHRT,0.0229
C09062X10_NASDAQ_BIIB,331.31
C09063H10_NYSE_BMR,22.41
C09064M20_NASDAQ_BIOD,1.98
C09064Y30_NASDAQ_BIOF,11.56
C09065C10_NASDAQ_BMSN,0.0022
C09066L10_AMEX_BTX,3.27
C09067210_NASDAQ_BEAT,7.31
C09067820_NASDAQ_BSPM,1.85
C09069410_NASDAQ_BOTA,2.33
C09069N10_NASDAQ_BIOS,8.33
C09070W10_NASDAQ_BSHF,0.0378
C09073C10_NASDAQ_BICX,0.105
C09091110_NASDAQ_BIOL,2.32
C09173J10_NASDAQ_BTCS,0.0692
C09175110_NASDAQ_BTZO,6.0E-4
C09180C10_NASDAQ_BJRI,36.78
C09182610_NASDAQ_BBOX,23.42
C09202G10_NASDAQ_BDE,8.55
C09222610_NASDAQ_BRPC,0.5701
C09227Q10_NASDAQ_BLKB,40.4
C09228F10_NASDAQ_BBRY,10.1855
C09238E10_NASDAQ_HAWK,27.95
C09247X10_NYSE_BLK,332.41
C09249N10_AMEX_BLE,14.68
C09250810_NYSE_BTZ,13.46
C09251A10_NYSE_BDJ,8.33
C09252410_NYSE_BGY,7.85
C09253310_NASDAQ_BKCC,9.3
C09253R10_AMEX_MVF,9.6
C09253U10_NYSE_BX,32.75
C09254B10_NYSE_BCF,9.12
C09257W10_NYSE_BXMT,29.15
C09344210_NASDAQ_BLGA,0.02
C09367110_NYSE_HRB,32.2
C09423510_NASDAQ_BLMN,16.96
C09518010_NYSE_BLT,16.16
C09522910_NASDAQ_BCOR,15.79
C09531B20_NASDAQ_BCYP,0.1349
C09578R10_NASDAQ_NILE,28.97
C09609G10_NASDAQ_BLUE,37.69
C09623J10_NASDAQ_BFRE,0.0039
C09624H10_NYSE_BXC,1.32
C09641Q20_NASDAQ_BLUF,0.0055
C09643P20_NYSE_BTH,9.61
C09662710_NYSE_BWP,18.96
C09676110_NASDAQ_BOBE,44.52
C09681320_NASDAQ_BHKLY,68.255
C09702310_NYSE_BA,127.98
C09739C10_NASDAQ_WIFI,7.33
C09739D10_NYSE_BCC,31.21
C09769810_NASDAQ_BOLT,21.95
C09776J10_NASDAQ_BONT,9.42
C09777B10_NASDAQ_BONA,7.5
C09779310_NYSE_BCEI,56.25
C09782410_NASDAQ_BONZ,7.0E-4
C09857010_NASDAQ_BAMM,1.87
C09950210_NYSE_BAH,22.71
C09972410_NYSE_BWA,62.53
C10055710_NYSE_SAM,216.88
C10112110_NYSE_BXP,122.66
C10113710_NYSE_BSX,12.32
C10138810_NASDAQ_EPAY,27.69
C10140510_NASDAQ_BDBD,13.24
C10211F10_AMEX_BVX,4.4
C10330410_NYSE_BYD,11.77
C10467410_NYSE_BRC,26.83
C10501E10_NASDAQ_BCLI,0.286
C10536820_NYSE_BDN,16.17
C10552T10_NYSE_BRFS,25.68
C10567L10_NASDAQ_OGNG,0.014
C10586110_NASDAQ_BMIX,0.0421
C10670810_NASDAQ_BRDT,0.195
C10677610_NASDAQ_BBEP,22.52
C10678P10_NASDAQ_BECC,0.645
C10807M10_NYSE_BPI,11.97
C10904310_NYSE_BGG,20.04
C10921T10_NASDAQ_BCOV,6.08
C10964110_NYSE_EAT,50.44
C10970310_NASDAQ_BNXR,0.0195
C11012210_NYSE_BMY,51.19
C11039410_NYSE_BRS,71.5
C11044810_AMEX_BTI,116.12
C11101310_NASDAQ_BSYBY,57.051
C11132010_NASDAQ_BRCM,41.04
C11133B40_NASDAQ_BSFT,22.96
C11133T10_NYSE_BR,43.19
